CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
104,24020,,36113,"Warren County, NY",County or equivalent,65707,65692,65665,65736,65417,65083,64866,64420,64438,64365,64215,63944,-27,71,-319,-334,-217,-446,18,-73,-150,-271,154,617,611,597,566,532,557,565,566,529,185,635,662,632,700,763,675,731,679,674,-31,-18,-51,-35,-134,-231,-118,-166,-113,-145,5,12,17,22,37,47,46,35,26,23,8,81,-281,-321,-108,-261,94,62,-58,-146,13,93,-264,-299,-71,-214,140,97,-32,-123,-9,-4,-4,0,-12,-1,-4,-4,-5,-3
104,24020,,36115,"Washington County, NY",County or equivalent,63216,63254,63356,63091,63003,62765,62475,62246,61795,61559,61274,61204,102,-265,-88,-238,-290,-229,-451,-236,-285,-70,129,638,658,622,581,601,566,545,560,545,112,624,601,614,572,644,580,627,682,681,17,14,57,8,9,-43,-14,-82,-122,-136,0,6,8,4,7,13,16,10,9,7,88,-286,-143,-244,-306,-196,-453,-162,-168,63,88,-280,-135,-240,-299,-183,-437,-152,-159,70,-3,1,-10,-6,0,-3,0,-2,-4,-4
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,55531,55513,55455,55112,54845,54345,53932,53801,53610,53802,53633,53383,-58,-343,-267,-500,-413,-131,-191,192,-169,-250,137,556,555,536,525,549,516,533,511,517,167,601,625,658,573,576,612,610,579,565,-30,-45,-70,-122,-48,-27,-96,-77,-68,-48,2,19,17,22,14,18,12,8,6,0,-25,-319,-207,-401,-387,-117,-104,264,-104,-203,-23,-300,-190,-379,-373,-99,-92,272,-98,-203,-5,2,-7,1,8,-5,-3,-3,-3,1
104,24100,,36035,"Fulton County, NY",County or equivalent,55531,55513,55455,55112,54845,54345,53932,53801,53610,53802,53633,53383,-58,-343,-267,-500,-413,-131,-191,192,-169,-250,137,556,555,536,525,549,516,533,511,517,167,601,625,658,573,576,612,610,579,565,-30,-45,-70,-122,-48,-27,-96,-77,-68,-48,2,19,17,22,14,18,12,8,6,0,-25,-319,-207,-401,-387,-117,-104,264,-104,-203,-23,-300,-190,-379,-373,-99,-92,272,-98,-203,-5,2,-7,1,8,-5,-3,-3,-3,1
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,63096,63066,63036,62528,62449,62170,61942,61434,60835,60338,59785,59461,-30,-508,-79,-279,-228,-508,-599,-497,-553,-324,153,575,535,561,510,507,521,489,509,489,138,700,645,669,670,708,684,643,702,676,15,-125,-110,-108,-160,-201,-163,-154,-193,-187,11,41,40,65,85,66,70,51,44,43,-49,-424,2,-234,-140,-371,-506,-393,-401,-178,-38,-383,42,-169,-55,-305,-436,-342,-357,-135,-7,0,-11,-2,-13,-2,0,-1,-3,-2
104,26460,,36021,"Columbia County, NY",County or equivalent,63096,63066,63036,62528,62449,62170,61942,61434,60835,60338,59785,59461,-30,-508,-79,-279,-228,-508,-599,-497,-553,-324,153,575,535,561,510,507,521,489,509,489,138,700,645,669,670,708,684,643,702,676,15,-125,-110,-108,-160,-201,-163,-154,-193,-187,11,41,40,65,85,66,70,51,44,43,-49,-424,2,-234,-140,-371,-506,-393,-401,-178,-38,-383,42,-169,-55,-305,-436,-342,-357,-135,-7,0,-11,-2,-13,-2,0,-1,-3,-2
106,,,,"Albuquerque-Santa Fe-Las Vegas, NM",Combined Statistical Area,1123717,1123721,1126646,1136469,1140865,1143943,1142965,1144135,1147987,1152024,1154686,1158464,2925,9823,4396,3078,-978,1170,3852,4037,2662,3778,3401,13791,13529,13195,12851,12753,12410,12016,11710,11576,1798,8524,8513,8773,8952,9323,9634,9726,10124,10012,1603,5267,5016,4422,3899,3430,2776,2290,1586,1564,287,2736,2139,2916,883,1707,1336,1060,940,949,1051,1836,-2599,-4210,-5674,-3901,-212,733,185,1318,1338,4572,-460,-1294,-4791,-2194,1124,1793,1125,2267,-16,-16,-160,-50,-86,-66,-48,-46,-49,-53
106,10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887063,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,2495,8458,3923,3014,-415,1488,3211,3074,2636,3071,2761,11173,11024,10727,10467,10391,10130,9838,9651,9520,1426,6714,6614,6827,7020,7339,7495,7714,8003,7943,1335,4459,4410,3900,3447,3052,2635,2124,1648,1577,191,1831,1593,2203,686,1359,1071,836,750,753,973,2178,-1928,-3026,-4472,-2875,-455,155,273,788,1164,4009,-335,-823,-3786,-1516,616,991,1023,1541,-4,-10,-152,-63,-76,-48,-40,-41,-35,-47
106,10740,,35001,"Bernalillo County, NM",County or equivalent,662564,662477,663923,670283,673615,676326,675957,676248,677683,678203,678034,679121,1446,6360,3332,2711,-369,291,1435,520,-169,1087,2132,8435,8471,8270,8087,7939,7699,7360,7281,7130,1165,5046,4971,5096,5232,5473,5594,5755,5939,5949,967,3389,3500,3174,2855,2466,2105,1605,1342,1181,165,1642,1463,2012,672,1311,1047,824,738,773,353,1342,-1483,-2406,-3830,-3445,-1681,-1873,-2221,-824,518,2984,-20,-394,-3158,-2134,-634,-1049,-1483,-51,-39,-13,-148,-69,-66,-41,-36,-36,-28,-43
106,10740,,35043,"Sandoval County, NM",County or equivalent,131561,131621,132431,134326,135380,136311,137023,138521,140464,142689,145096,146748,810,1895,1054,931,712,1498,1943,2225,2407,1652,371,1599,1473,1444,1442,1470,1446,1472,1386,1405,159,948,889,991,978,1036,1059,1144,1230,1145,212,651,584,453,464,434,387,328,156,260,11,89,24,17,-26,13,5,-16,7,-22,550,1151,468,478,297,1055,1552,1912,2244,1414,561,1240,492,495,271,1068,1557,1896,2251,1392,37,4,-22,-17,-23,-4,-1,1,0,0
106,10740,,35057,"Torrance County, NM",County or equivalent,16383,16380,16404,16447,16155,15825,15666,15596,15491,15535,15512,15461,24,43,-292,-330,-159,-70,-105,44,-23,-51,41,173,172,142,133,159,168,157,154,153,12,142,165,146,164,156,170,164,132,150,29,31,7,-4,-31,3,-2,-7,22,3,11,53,50,87,35,46,27,37,22,23,-16,-42,-364,-423,-166,-119,-130,14,-66,-76,-5,11,-314,-336,-131,-73,-103,51,-44,-53,0,1,15,10,3,0,0,0,-1,-1
106,10740,,35061,"Valencia County, NM",County or equivalent,76569,76585,76800,76960,76789,76491,75892,75661,75599,75884,76305,76688,215,160,-171,-298,-599,-231,-62,285,421,383,217,966,908,871,805,823,817,849,830,832,90,578,589,594,646,674,672,651,702,699,127,388,319,277,159,149,145,198,128,133,4,47,56,87,5,-11,-8,-9,-17,-21,86,-273,-549,-675,-773,-366,-196,102,316,274,90,-226,-493,-588,-768,-377,-204,93,299,253,-2,-2,3,13,10,-3,-3,-6,-6,-3
106,21580,,,"Española, NM",Micropolitan Statistical Area,40246,40220,40286,40244,40195,40064,39736,39370,39245,39235,39023,38921,66,-42,-49,-131,-328,-366,-125,-10,-212,-102,159,590,577,595,548,517,506,475,411,417,78,352,404,367,425,388,429,406,444,459,81,238,173,228,123,129,77,69,-33,-42,9,30,44,69,36,41,34,26,30,30,-20,-310,-267,-430,-494,-538,-235,-103,-207,-88,-11,-280,-223,-361,-458,-497,-201,-77,-177,-58,-4,0,1,2,7,2,-1,-2,-2,-2
106,21580,,35039,"Rio Arriba County, NM",County or equivalent,40246,40220,40286,40244,40195,40064,39736,39370,39245,39235,39023,38921,66,-42,-49,-131,-328,-366,-125,-10,-212,-102,159,590,577,595,548,517,506,475,411,417,78,352,404,367,425,388,429,406,444,459,81,238,173,228,123,129,77,69,-33,-42,9,30,44,69,36,41,34,26,30,30,-20,-310,-267,-430,-494,-538,-235,-103,-207,-88,-11,-280,-223,-361,-458,-497,-201,-77,-177,-58,-4,0,1,2,7,2,-1,-2,-2,-2
106,29780,,,"Las Vegas, NM",Micropolitan Statistical Area,34274,34256,34286,34133,33775,33514,33106,32824,32538,32245,31967,31798,30,-153,-358,-261,-408,-282,-286,-293,-278,-169,104,361,379,390,343,362,322,292,268,277,38,324,320,325,314,338,367,325,326,308,66,37,59,65,29,24,-45,-33,-58,-31,5,60,71,114,71,71,42,35,41,41,-41,-250,-498,-450,-517,-380,-283,-296,-259,-180,-36,-190,-427,-336,-446,-309,-241,-261,-218,-139,0,0,10,10,9,3,0,1,-2,1
106,29780,,35033,"Mora County, NM",County or equivalent,4881,4881,4893,4781,4684,4695,4613,4609,4533,4530,4487,4521,12,-112,-97,11,-82,-4,-76,-3,-43,34,11,42,46,40,39,48,47,39,33,30,3,44,51,49,45,53,57,30,35,37,8,-2,-5,-9,-6,-5,-10,9,-2,-7,-1,-3,-2,0,0,0,0,0,0,0,5,-107,-91,19,-77,2,-66,-12,-41,42,4,-110,-93,19,-77,2,-66,-12,-41,42,0,0,1,1,1,-1,0,0,0,-1
106,29780,,35047,"San Miguel County, NM",County or equivalent,29393,29375,29393,29352,29091,28819,28493,28215,28005,27715,27480,27277,18,-41,-261,-272,-326,-278,-210,-290,-235,-203,93,319,333,350,304,314,275,253,235,247,35,280,269,276,269,285,310,295,291,271,58,39,64,74,35,29,-35,-42,-56,-24,6,63,73,114,71,71,42,35,41,41,-46,-143,-407,-469,-440,-382,-217,-284,-218,-222,-40,-80,-334,-355,-369,-311,-175,-249,-177,-181,0,0,9,9,8,4,0,1,-2,2
106,31060,,,"Los Alamos, NM",Micropolitan Statistical Area,17950,17950,17994,18229,18234,17947,17803,17817,18209,18742,18988,19369,44,235,5,-287,-144,14,392,533,246,381,36,186,166,160,180,149,171,180,164,173,43,110,121,139,111,125,127,128,126,111,-7,76,45,21,69,24,44,52,38,62,8,107,86,113,51,81,68,52,62,62,41,52,-131,-436,-270,-90,279,426,147,256,49,159,-45,-323,-219,-9,347,478,209,318,2,0,5,15,6,-1,1,3,-1,1
106,31060,,35028,"Los Alamos County, NM",County or equivalent,17950,17950,17994,18229,18234,17947,17803,17817,18209,18742,18988,19369,44,235,5,-287,-144,14,392,533,246,381,36,186,166,160,180,149,171,180,164,173,43,110,121,139,111,125,127,128,126,111,-7,76,45,21,69,24,44,52,38,62,8,107,86,113,51,81,68,52,62,62,41,52,-131,-436,-270,-90,279,426,147,256,49,159,-45,-323,-219,-9,347,478,209,318,2,0,5,15,6,-1,1,3,-1,1
106,42140,,,"Santa Fe, NM",Metropolitan Statistical Area,144170,144232,144522,145847,146722,147465,147782,148098,148758,149491,149761,150358,290,1325,875,743,317,316,660,733,270,597,341,1481,1383,1323,1313,1334,1281,1231,1216,1189,213,1024,1054,1115,1082,1133,1216,1153,1225,1191,128,457,329,208,231,201,65,78,-9,-2,74,708,345,417,39,155,121,111,57,63,98,166,225,132,79,-18,482,551,231,542,172,874,570,549,118,137,603,662,288,605,-10,-6,-24,-14,-32,-22,-8,-7,-9,-6
106,42140,,35049,"Santa Fe County, NM",County or equivalent,144170,144232,144522,145847,146722,147465,147782,148098,148758,149491,149761,150358,290,1325,875,743,317,316,660,733,270,597,341,1481,1383,1323,1313,1334,1281,1231,1216,1189,213,1024,1054,1115,1082,1133,1216,1153,1225,1191,128,457,329,208,231,201,65,78,-9,-2,74,708,345,417,39,155,121,111,57,63,98,166,225,132,79,-18,482,551,231,542,172,874,570,549,118,137,603,662,288,605,-10,-6,-24,-14,-32,-22,-8,-7,-9,-6
107,,,,"Altoona-Huntingdon, PA",Combined Statistical Area,173002,173117,173039,172976,172482,171676,171010,170095,169088,168576,167898,166973,-78,-63,-494,-806,-666,-915,-1007,-512,-678,-925,446,1757,1733,1738,1693,1734,1692,1625,1538,1500,511,2022,1947,2166,1982,2084,2116,2152,2055,2151,-65,-265,-214,-428,-289,-350,-424,-527,-517,-651,9,23,41,46,49,79,94,75,68,65,0,189,-293,-405,-401,-631,-672,-50,-223,-332,9,212,-252,-359,-352,-552,-578,25,-155,-267,-22,-10,-28,-19,-25,-13,-5,-10,-6,-7
107,11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,-72,-75,-426,-708,-562,-678,-888,-561,-644,-674,339,1339,1319,1319,1302,1330,1298,1241,1176,1146,394,1599,1500,1697,1556,1633,1641,1660,1554,1619,-55,-260,-181,-378,-254,-303,-343,-419,-378,-473,9,17,21,16,23,36,45,36,33,30,-9,175,-245,-335,-312,-401,-585,-171,-295,-225,0,192,-224,-319,-289,-365,-540,-135,-262,-195,-17,-7,-21,-11,-19,-10,-5,-7,-4,-6
107,11020,,42013,"Blair County, PA",County or equivalent,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,-72,-75,-426,-708,-562,-678,-888,-561,-644,-674,339,1339,1319,1319,1302,1330,1298,1241,1176,1146,394,1599,1500,1697,1556,1633,1641,1660,1554,1619,-55,-260,-181,-378,-254,-303,-343,-419,-378,-473,9,17,21,16,23,36,45,36,33,30,-9,175,-245,-335,-312,-401,-585,-171,-295,-225,0,192,-224,-319,-289,-365,-540,-135,-262,-195,-17,-7,-21,-11,-19,-10,-5,-7,-4,-6
107,26500,,,"Huntingdon, PA",Micropolitan Statistical Area,45913,46000,45994,46006,45938,45840,45736,45499,45380,45429,45395,45144,-6,12,-68,-98,-104,-237,-119,49,-34,-251,107,418,414,419,391,404,394,384,362,354,117,423,447,469,426,451,475,492,501,532,-10,-5,-33,-50,-35,-47,-81,-108,-139,-178,0,6,20,30,26,43,49,39,35,35,9,14,-48,-70,-89,-230,-87,121,72,-107,9,20,-28,-40,-63,-187,-38,160,107,-72,-5,-3,-7,-8,-6,-3,0,-3,-2,-1
107,26500,,42061,"Huntingdon County, PA",County or equivalent,45913,46000,45994,46006,45938,45840,45736,45499,45380,45429,45395,45144,-6,12,-68,-98,-104,-237,-119,49,-34,-251,107,418,414,419,391,404,394,384,362,354,117,423,447,469,426,451,475,492,501,532,-10,-5,-33,-50,-35,-47,-81,-108,-139,-178,0,6,20,30,26,43,49,39,35,35,9,14,-48,-70,-89,-230,-87,121,72,-107,9,20,-28,-40,-63,-187,-38,160,107,-72,-5,-3,-7,-8,-6,-3,0,-3,-2,-1
108,,,,"Amarillo-Pampa-Borger, TX",Combined Statistical Area,297547,297652,298272,301586,303686,304732,307073,307586,308166,308721,308474,308731,620,3314,2100,1046,2341,513,580,555,-247,257,1088,4389,4361,4535,4607,4490,4293,4137,3838,3837,704,2641,2687,2886,2843,2945,2944,2788,2893,2802,384,1748,1674,1649,1764,1545,1349,1349,945,1035,123,596,798,729,928,857,777,709,498,483,99,964,-381,-1382,-389,-1906,-1559,-1508,-1696,-1265,222,1560,417,-653,539,-1049,-782,-799,-1198,-782,14,6,9,50,38,17,13,5,6,4
108,11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251935,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,729,3311,1827,1094,1916,806,1369,1344,75,647,938,3786,3702,3885,3953,3849,3673,3508,3327,3314,607,2150,2196,2351,2313,2397,2415,2273,2409,2324,331,1636,1506,1534,1640,1452,1258,1235,918,990,119,576,759,711,908,828,747,701,495,482,275,1097,-447,-1205,-656,-1489,-644,-591,-1345,-824,394,1673,312,-494,252,-661,103,110,-850,-342,4,2,9,54,24,15,8,-1,7,-1
108,11100,,48011,"Armstrong County, TX",County or equivalent,1901,1901,1902,1936,1953,1940,1913,1901,1843,1867,1879,1887,1,34,17,-13,-27,-12,-58,24,12,8,5,18,21,29,18,19,19,19,22,19,2,27,28,36,29,28,43,22,17,20,3,-9,-7,-7,-11,-9,-24,-3,5,-1,0,5,5,0,0,0,0,0,0,0,-2,39,19,-8,-15,-4,-34,28,5,10,-2,44,24,-8,-15,-4,-34,28,5,10,0,-1,0,2,-1,1,0,-1,2,-1
108,11100,,48065,"Carson County, TX",County or equivalent,6182,6184,6162,6238,6089,5988,6036,6013,6096,6005,6007,5926,-22,76,-149,-101,48,-23,83,-91,2,-81,15,64,58,58,71,56,57,57,40,43,18,67,79,73,58,59,62,66,53,55,-3,-3,-21,-15,13,-3,-5,-9,-13,-12,0,1,4,1,2,5,3,3,0,0,-20,78,-133,-92,34,-23,86,-85,16,-68,-20,79,-129,-91,36,-18,89,-82,16,-68,1,0,1,5,-1,-2,-1,0,-1,-1
108,11100,,48359,"Oldham County, TX",County or equivalent,2052,2052,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,-2,22,-26,42,-19,-5,10,30,14,-6,5,15,20,20,33,21,23,22,23,24,5,15,13,20,14,19,15,16,11,12,0,0,7,0,19,2,8,6,12,12,0,0,0,0,0,0,0,0,0,0,-2,23,-34,41,-39,-7,1,24,1,-19,-2,23,-34,41,-39,-7,1,24,1,-19,0,-1,1,1,1,0,1,0,1,1
108,11100,,48375,"Potter County, TX",County or equivalent,121073,121078,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415,293,934,434,-612,-66,-789,-640,-292,-1629,-1296,532,2040,2038,2127,2101,1997,1917,1813,1655,1641,316,1131,1143,1187,1232,1225,1234,1156,1256,1135,216,909,895,940,869,772,683,657,399,506,85,457,578,553,703,695,638,600,431,416,1,-430,-1049,-2140,-1659,-2277,-1967,-1554,-2467,-2221,86,27,-471,-1587,-956,-1582,-1329,-954,-2036,-1805,-9,-2,10,35,21,21,6,5,8,3
108,11100,,48381,"Randall County, TX",County or equivalent,120725,120720,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713,459,2245,1551,1778,1980,1635,1974,1673,1676,2022,381,1649,1565,1651,1730,1756,1657,1597,1587,1587,266,910,933,1035,980,1066,1061,1013,1072,1102,115,739,632,616,750,690,596,584,515,485,34,113,172,157,203,128,106,98,64,66,298,1387,750,994,1023,822,1270,996,1100,1474,332,1500,922,1151,1226,950,1376,1094,1164,1540,12,6,-3,11,4,-5,2,-5,-3,-3
108,14420,,,"Borger, TX",Micropolitan Statistical Area,22150,22251,22214,22024,22022,21921,21915,21793,21528,21343,21119,20938,-37,-190,-2,-101,-6,-122,-265,-185,-224,-181,63,285,310,301,316,284,295,321,246,256,49,237,224,261,231,272,258,224,236,215,14,48,86,40,85,12,37,97,10,41,3,14,20,11,18,3,5,4,2,2,-57,-254,-109,-151,-106,-138,-307,-287,-237,-226,-54,-240,-89,-140,-88,-135,-302,-283,-235,-224,3,2,1,-1,-3,1,0,1,1,2
